Department,points
# Javelin women,
MRDG,100
DESE,60
BSSE,20
#,
# Javelin Men,
EE,100
CeNSE,60
Physics,20
#,
# 5k Men,
Aerospace,100
Civil,60
MRDG,20
#,
# 5k Women,
UG Seniors,100
CPDM,60
MCB,20
#,
# Long Jump Men,
UG Seniors,100
CNS,60
CPDM,20
#,
# Long Jump Women,
CeNSE,100
Civil,60
MCB,60
#,
# Shot Put Men,
CeNSE,100
UG Juniors,60
CeNSE,20
ECE,20
#,
# Shot Put Women,
CeNSE,100
UG Seniors,60
CeNSE,20
#,
# High Jump Men,
UG Seniors,100
CNS,60
EE,20
#,
# High Jump Women,
CeNSE,100
CeNSE,60
CES,20
#,
# 800 Women,
UG Seniors,100
UG Seniors,60
UG Seniors,20
#,
# 800 Men,
UG Seniors,100
Physics,60
Physics,20
#,
# 200 Women,
BSSE,100
UG Seniors,60
Physics,20
#,
# 1500 Men,
Physics,100
Physics,60
MBU,20
#,
# Cycling Men,
UG Seniors,300
UG Seniors,100
CSA,50
#,
# Cycling Women,
CES,300
UG Seniors,100
CPDM,50
#,
# 400 Women,
Civil,100
MBU,60
CDS,20
#,
# 1500 Women,
Civil,100
UG Seniors,60
UG Juniors,20
#,

# Discus Men,
MBU,100
ECE,60
CeNSE,60
#,
# Discus Women,
CeNSE,100
UG Seniors,60
CPDM,20
#,
# 400 Men,
UG Seniors,100
UG Seniors,60
DCCC,20
#,
# Dodgeball Women,
CeNSE,500
MBU,300
IAP,100
#,
# Dodgeball Men,
UG Seniors,500
CSA,300
Mechanical,100
#,
# Throwball,
CeNSE,500
MBU,300
Civil,100
#,
# 100 Women,
BSSE,100
CeNSE,60
UG Seniors,20
#,
# 200 Men,
UG Seniors,100
CPDM,60
UG Juniors,20
#,
# 100 Men,
EE,100
UG Juniors,60
UG Seniors,20
#,
# Hurdles Women,
CeNSE,100
CeNSE,60
Civil,20
#,
# Hurdles Men,
UG Seniors,100
UG Seniors,60
UG Juniors,20
#,
# Carrom,
CSA,500
MBU,300
Aerospace,100
#,
# Kho Kho,
UG Seniors,500
CSA,300
Mechanical,100
#,
# Football,
UG Seniors,500
Maths,300
Physics,100
#,
# Table Tennis,
Maths,500
EE,300
Maths,100
#,
# Chess,
UG Juniors,500
Mechanical,300
Physics,100
#,
# Frisbee,
UG Seniors,500
CES,300
UG Seniors,100
#,
# Basketball Women,
BioChem,500
UG Seniors,300
Aerospace,100
#,
# Basketball Men,
UG Seniors,500
IAP,300
CDS,100
#,
# Handball Women,
MBU,500
CeNSE,300
UG Juniors,100
#,
# Handball Men,
UG Seniors,500
DoMS,300
CNS,100
#,
